Sample_name	Population_code
HGDP00647	BED
HGDP00648	BED
HGDP00649	BED
HGDP00650	BED
HGDP00651	BED
HGDP00653	BED
HGDP00654	BED
HGDP00665	SAR
HGDP00666	SAR
HGDP00667	SAR
HGDP00668	SAR
HGDP00669	SAR
HGDP00670	SAR
HGDP00671	SAR
HGDP00672	SAR
HGDP00673	SAR
HGDP00674	SAR
HGDP00675	PAL
HGDP00676	PAL
HGDP00677	PAL
HGDP00678	PAL
HGDP00679	PAL
HGDP00680	PAL
HGDP00682	PAL
HGDP00683	PAL
HGDP00684	PAL
HGDP00685	PAL
HGDP00686	PAL
HGDP00687	PAL
HGDP00688	PAL
HGDP00689	PAL
HGDP00690	PAL
HGDP00691	PAL
HGDP00692	PAL
HGDP00693	PAL
HGDP00694	PAL
HGDP00696	PAL
HGDP00697	PAL
HGDP00698	PAL
HGDP00699	PAL
HGDP00700	PAL
HGDP00701	BED
HGDP00702	CLM
HGDP00703	CLM
HGDP00704	CLM
HGDP00706	CLM
HGDP00708	CLM
HGDP00710	CLM
HGDP00722	PAL
HGDP00723	PAL
HGDP00724	PAL
HGDP00725	PAL
HGDP00726	PAL
HGDP00727	PAL
HGDP00729	PAL
HGDP00730	PAL
HGDP00731	PAL
HGDP00732	PAL
HGDP00733	PAL
HGDP00734	PAL
HGDP00735	PAL
HGDP00736	PAL
HGDP00737	PAL
HGDP00738	PAL
HGDP00739	PAL
HGDP00740	PAL
HGDP00741	PAL
HGDP00744	PAL
HGDP00745	PAL
HGDP00746	PAL
HGDP00747	JPT
HGDP00748	JPT
HGDP00749	JPT
HGDP00750	JPT
HGDP00751	JPT
HGDP00752	JPT
HGDP00753	JPT
HGDP00754	JPT
HGDP00755	JPT
HGDP00756	JPT
HGDP00757	JPT
HGDP00758	JPT
HGDP00759	JPT
HGDP00760	JPT
HGDP00761	JPT
HGDP00762	JPT
HGDP00764	JPT
HGDP00765	JPT
HGDP00766	JPT
HGDP00767	JPT
HGDP00769	JPT
HGDP00771	JPT
HGDP00772	JPT
HGDP00773	JPT
HGDP00774	CHS
HGDP00775	CHS
HGDP00776	CHS
HGDP00777	CHS
HGDP00778	CHS
HGDP00779	CHS
HGDP00780	CHS
HGDP00781	CHS
HGDP00782	CHS
HGDP00783	CHS
HGDP00784	CHS
HGDP00785	CHS
HGDP00786	CHS
HGDP00790	JPT
HGDP00791	JPT
HGDP00811	CHS
HGDP00812	CHS
HGDP00813	CHS
HGDP00814	CHS
HGDP00815	CHS
HGDP00817	CHS
HGDP00818	CHS
HGDP00819	CHS
HGDP00820	CHS
HGDP00821	CHS
HGDP00822	CHS
HGDP00828	JPT
HGDP00854	MAY
HGDP00855	MAY
HGDP00856	MAY
HGDP00857	MAY
HGDP00858	MAY
HGDP00859	MAY
HGDP00860	MAY
HGDP00861	MAY
HGDP00862	MAY
HGDP00863	MAY
HGDP00864	MAY
HGDP00865	MAY
HGDP00868	MAY
HGDP00869	MAY
HGDP00870	MAY
HGDP00871	MAY
HGDP00872	MAY
HGDP00873	MAY
HGDP00875	MAY
HGDP00876	MAY
HGDP00877	MAY
HGDP00879	RUS
HGDP00880	RUS
HGDP00881	RUS
HGDP00882	RUS
HGDP00883	RUS
HGDP00884	RUS
HGDP00885	RUS
HGDP00886	RUS
HGDP00887	RUS
HGDP00888	RUS
HGDP00889	RUS
HGDP00890	RUS
HGDP00891	RUS
HGDP00892	RUS
HGDP00893	RUS
HGDP00894	RUS
HGDP00895	RUS
HGDP00896	RUS
HGDP00897	RUS
HGDP00898	RUS
HGDP00899	RUS
HGDP00900	RUS
HGDP00901	RUS
HGDP00902	RUS
HGDP00903	RUS
HGDP00904	MAN
HGDP00905	MAN
HGDP00906	MAN
HGDP00907	MAN
HGDP00908	MAN
HGDP00909	MAN
HGDP00910	MAN
HGDP00911	MAN
HGDP00912	MAN
HGDP00913	MAN
HGDP00914	MAN
HGDP00915	MAN
HGDP00917	MAN
HGDP00918	MAN
HGDP00920	YRI
HGDP00924	YRI
HGDP00925	YRI
HGDP00926	YRI
HGDP00927	YRI
HGDP00928	YRI
HGDP00929	YRI
HGDP00930	YRI
HGDP00931	YRI
HGDP00932	YRI
HGDP00933	YRI
HGDP00934	YRI
HGDP00935	YRI
HGDP00936	YRI
HGDP00937	YRI
HGDP00938	YRI
HGDP00939	YRI
HGDP00940	YRI
HGDP00941	YRI
HGDP00942	YRI
HGDP00943	YRI
HGDP00944	YRI
HGDP00945	YAK
HGDP00946	YAK
HGDP00947	YAK
HGDP00948	YAK
HGDP00949	YAK
HGDP00950	YAK
HGDP00951	YAK
HGDP00952	YAK
HGDP00953	YAK
HGDP00954	YAK
HGDP00955	YAK
HGDP00956	YAK
HGDP00957	YAK
HGDP00958	YAK
HGDP00959	YAK
HGDP00960	YAK
HGDP00961	YAK
HGDP00962	YAK
HGDP00963	YAK
HGDP00964	YAK
HGDP00965	YAK
HGDP00966	YAK
HGDP00967	YAK
HGDP00968	YAK
HGDP00969	YAK
HGDP00970	CLM
